"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
219, 1.934116719406980e-01, 4.382724092246863e-02, 2.266204170916518e+05, 7.066112133750763e-02, 2.291678966494427e+00
220, 1.983953424421167e-01, 4.403525234409666e-02, 2.229512669349599e+05, 6.859188153252826e-02, 2.302175946725951e+00
221, 2.033794479059411e-01, 4.423246783232434e-02, 2.191037486258718e+05, 6.642204991061114e-02, 2.313106147939219e+00
222, 2.083639965349991e-01, 4.441823840859525e-02, 2.154934560972322e+05, 6.438600322708807e-02, 2.322972693616101e+00
223, 2.133489401413379e-01, 4.459309395995664e-02, 2.118494224862506e+05, 6.233092805258925e-02, 2.333359955062025e+00
224, 2.183342353002025e-01, 4.475762516508977e-02, 2.083664112542253e+05, 6.036666243937840e-02, 2.344219743479541e+00
225, 2.233198422508435e-01, 4.491242342461445e-02, 2.051119996458710e+05, 5.853131699037526e-02, 2.354566110007428e+00
226, 2.283057247116104e-01, 4.505808077161687e-02, 2.023883956924789e+05, 5.699532378413389e-02, 2.363204965224828e+00
227, 2.332918497407136e-01, 4.519518979176051e-02, 1.998998567285095e+05, 5.559189692489348e-02, 2.370975023083604e+00
228, 2.382781870494299e-01, 4.532434353711725e-02, 1.975859153075711e+05, 5.428693542424085e-02, 2.379217451203574e+00
229, 2.432647098802415e-01, 4.544613548892822e-02, 1.955291307397642e+05, 5.312699911304596e-02, 2.386433126556040e+00
230, 2.482513933520613e-01, 4.556115946145322e-02, 1.937004550727377e+05, 5.209570621986548e-02, 2.392958732241057e+00
231, 2.532382375240459e-01, 4.566897501353000e-02, 1.917211664833986e+05, 5.097947424251447e-02, 2.399803135348225e+00
232, 2.582252887863567e-01, 4.576673995266657e-02, 1.896200776048829e+05, 4.979455224271712e-02, 2.406762503052129e+00
233, 2.632125167978732e-01, 4.585503765790774e-02, 1.873993168349343e+05, 4.854214054347571e-02, 2.413771656800271e+00
234, 2.681998894386508e-01, 4.593475980278329e-02, 1.852869239044570e+05, 4.735084355402740e-02, 2.420880981878738e+00
235, 2.731873790003169e-01, 4.600679849777275e-02, 1.834359507514099e+05, 4.630697585642236e-02, 2.427204358446305e+00
236, 2.781749621841886e-01, 4.607204620471619e-02, 1.819085717734876e+05, 4.544560108476264e-02, 2.432894005125381e+00
237, 2.831626191126784e-01, 4.613139565186118e-02, 1.806819169835644e+05, 4.475382156910331e-02, 2.437323340359358e+00
238, 2.881503331516870e-01, 4.618573977464899e-02, 1.797199996264091e+05, 4.421134235742644e-02, 2.441306404280474e+00
239, 2.931380903918377e-01, 4.623597166315502e-02, 1.788309894321062e+05, 4.370997958879486e-02, 2.444755507317433e+00
240, 2.981258790370356e-01, 4.628298451912181e-02, 1.780422587060113e+05, 4.326517004321951e-02, 2.448078524431025e+00
241, 3.031136945158963e-01, 4.632705374128924e-02, 1.771511080175095e+05, 4.276260012971530e-02, 2.451396613461427e+00
242, 3.081015497912801e-01, 4.636635043721947e-02, 1.761872078388275e+05, 4.221900269363929e-02, 2.455166905318495e+00
243, 3.130894417799280e-01, 4.640067162740834e-02, 1.750570249646497e+05, 4.158162910839927e-02, 2.459176438278618e+00
244, 3.180773655392191e-01, 4.643001717536912e-02, 1.738339394296253e+05, 4.089186249599960e-02, 2.463702603206347e+00
245, 3.230653160705554e-01, 4.645438696409154e-02, 1.725904983215930e+05, 4.019061623296635e-02, 2.468418819085573e+00
